time	 Quad.GPS.X				
1.004991	-1.571771		-1.670171	2.789471169	
3.104957	-1.532753		-1.631153	2.660660109	
2.505001	-1.340764		-1.439164	2.071193019	
4.004892	-1.15677		-1.25517	1.575451729	
0.604996	-0.94533		-1.04373	1.089372313	
0.305	-0.736634		-0.835034	0.697281781	
1.505014	-0.728171		-0.826571	0.683219618	
1.905033	-0.72019		-0.81859	0.670089588	
3.804907	-0.660107		-0.758507	0.575332869	
4.304871	-0.634446		-0.732846	0.53706326	
4.804834	-0.530198		-0.628598	0.395135446	
3.304943	-0.526731		-0.625131	0.390788767	
1.205	-0.521896		-0.620296	0.384767128	
1.104996	-0.470706		-0.569106	0.323881639	
0.904992	-0.450649		-0.549049	0.301454804	
4.204878	-0.401237		-0.499637	0.249637132	
0.105	-0.372319		-0.470719	0.221576377	
2.904972	-0.306131		-0.404531	0.16364533	
1.605019	-0.304144		-0.402544	0.162041672	
2.704986	-0.281471		-0.379871	0.144301977	
3.604921	-0.276905		-0.375305	0.140853843	
0.804993	-0.25994		-0.35834	0.128407556	
2.10503	-0.246533		-0.344933	0.118978774	
4.404863	-0.234778		-0.333178	0.11100758	
3.904899	-0.184361		-0.282761	0.079953783	
2.804979	-0.170454		-0.268854	0.072282473	
2.604994	-0.122222		-0.220622	0.048674067	
2.005037	0.025832		-0.072568	0.005266115	
3.404936	0.039883		-0.058517	0.003424239	
4.504856	0.091205		-0.007195	5.1768E-05	
2.305015	0.154157		0.055757	0.003108843	
4.904827	0.161582		0.063182	0.003991965	
0.504997	0.180194		0.081794	0.006690258	
3.704914	0.22339		0.12499	0.0156225	
1.305005	0.253452		0.155052	0.024041123	
2.405008	0.268186		0.169786	0.028827286	
4.704842	0.314692		0.216292	0.046782229	
3.504928	0.415602		0.317202	0.100617109	
1.40501	0.472187		0.373787	0.139716721	
3.004965	0.505934		0.407534	0.166083961	
3.20495	0.509784		0.411384	0.169236795	
0.205	0.639987		0.541587	0.293316479	
2.205023	0.657701		0.559301	0.312817609	
1.705024	0.691217		0.592817	0.351431995	
0.404998	0.869336		0.770936	0.594342316	
0.704994	0.887752		0.789352	0.62307658	
1.805028	0.976935		0.878535	0.771823746	
4.604849	1.096455		0.998055	0.996113783	
4.104885	1.426466		1.328066	1.7637593	
	-4.825682			23.20666652	
	-0.098483306			0.473605439	0.688189973
