time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.005000,0.000000,-0.000034,0.000010
0.010000,0.000000,-0.000243,0.000009
0.015000,-0.000000,-0.001080,0.000010
0.020000,-0.000002,-0.001991,-0.000002
0.025000,-0.000004,-0.003880,-0.000045
0.030000,-0.000004,-0.005438,-0.000064
0.035000,-0.000003,-0.007862,-0.000098
0.040000,-0.000002,-0.009413,-0.000103
0.045000,0.000002,-0.011420,-0.000099
0.050000,0.000006,-0.012373,-0.000097
0.055000,0.000010,-0.013113,-0.000094
0.060000,0.000012,-0.013151,-0.000090
0.065000,0.000012,-0.012662,-0.000055
0.070000,0.000012,-0.012030,-0.000030
0.075000,0.000013,-0.010783,-0.000018
0.080000,0.000011,-0.009816,-0.000028
0.085000,0.000008,-0.008276,-0.000052
0.090000,0.000005,-0.007262,-0.000054
0.095000,0.000002,-0.005894,-0.000044
0.100000,0.000001,-0.005129,-0.000029
0.105000,-0.000001,-0.004263,-0.000004
0.110000,-0.000002,-0.003880,0.000013
0.115000,-0.000004,-0.003524,0.000025
0.120000,-0.000006,-0.003409,0.000024
0.125000,-0.000009,-0.003390,0.000009
0.130000,-0.000009,-0.003433,0.000013
0.135000,-0.000010,-0.003541,0.000032
0.140000,-0.000012,-0.003600,0.000052
0.145000,-0.000013,-0.003637,0.000075
0.150000,-0.000015,-0.003617,0.000100
0.155000,-0.000017,-0.003500,0.000109
0.160000,-0.000019,-0.003186,0.000120
0.165000,-0.000022,-0.002025,0.000120
0.170000,-0.000023,-0.000745,0.000117
0.175000,-0.000027,0.001892,-0.000023
0.180000,-0.000031,0.004000,-0.000176
0.185000,-0.000043,0.007514,-0.000379
0.190000,-0.000058,0.009997,-0.000490
0.195000,-0.000096,0.013841,-0.000644
0.200000,-0.000133,0.016433,-0.000746
0.205000,-0.000203,0.020060,-0.000779
0.210000,-0.000255,0.022093,-0.000756
0.215000,-0.000335,0.024066,-0.000743
0.220000,-0.000389,0.024571,-0.000748
0.225000,-0.000468,0.024242,-0.000757
0.230000,-0.000518,0.023426,-0.000762
0.235000,-0.000587,0.021554,-0.000755
0.240000,-0.000629,0.020010,-0.000756
0.245000,-0.000687,0.017506,-0.000757
0.250000,-0.000722,0.015791,-0.000749
0.255000,-0.000769,0.013257,-0.000722
0.260000,-0.000797,0.011633,-0.000711
0.265000,-0.000833,0.009351,-0.000696
0.270000,-0.000855,0.007965,-0.000703
0.275000,-0.000883,0.006122,-0.000714
0.280000,-0.000899,0.005105,-0.000719
0.285000,-0.000919,0.003963,-0.000750
0.290000,-0.000931,0.003479,-0.000776
0.295000,-0.000946,0.003115,-0.000820
0.300000,-0.000956,0.003050,-0.000834
0.305000,-0.000972,0.003151,-0.000813
0.310000,-0.000982,0.003285,-0.000798
0.314999,-0.000998,0.003510,-0.000787
0.319999,-0.001008,0.003655,-0.000783
0.324999,-0.001025,0.003797,-0.000786
0.329999,-0.001035,0.003839,-0.000793
0.334999,-0.001054,0.003826,-0.000828
0.339999,-0.001065,0.003754,-0.000857
0.344999,-0.001084,0.003550,-0.000914
0.349999,-0.001096,0.003367,-0.000949
0.354999,-0.001116,0.003022,-0.000970
0.359999,-0.001129,0.002782,-0.000982
0.364999,-0.001146,0.002453,-0.001023
0.369999,-0.001157,0.002228,-0.001036
0.374999,-0.001170,0.001919,-0.001001
0.379999,-0.001179,0.001760,-0.000967
0.384999,-0.001189,0.001552,-0.000929
0.389999,-0.001194,0.001455,-0.000928
0.394998,-0.001201,0.001372,-0.000958
0.399998,-0.001204,0.001338,-0.000976
0.404998,-0.001211,0.001303,-0.000999
0.409998,-0.001217,0.001274,-0.001030
0.414998,-0.001226,0.001257,-0.001055
0.419998,-0.001233,0.001239,-0.001077
0.424998,-0.001241,0.001237,-0.001110
0.429998,-0.001245,0.001237,-0.001116
0.434998,-0.001251,0.001214,-0.001093
0.439998,-0.001255,0.001134,-0.001093
0.444998,-0.001261,0.000806,-0.001110
0.449998,-0.001264,0.000403,-0.001113
0.454998,-0.001268,-0.000473,-0.001098
0.459998,-0.001267,-0.001204,-0.001086
0.464998,-0.001261,-0.002427,-0.001049
0.469997,-0.001254,-0.003275,-0.001030
0.474997,-0.001238,-0.004502,-0.001009
0.479997,-0.001224,-0.005252,-0.001008
0.484997,-0.001198,-0.006212,-0.001015
0.489997,-0.001178,-0.006732,-0.001032
0.494997,-0.001146,-0.007330,-0.001032
0.499997,-0.001122,-0.007579,-0.001029
0.504997,-0.001088,-0.007725,-0.000983
0.509997,-0.001065,-0.007710,-0.000952
0.514997,-0.001032,-0.007562,-0.000906
0.519997,-0.001011,-0.007410,-0.000880
0.524997,-0.000980,-0.007176,-0.000841
0.529997,-0.000961,-0.007040,-0.000826
0.534997,-0.000935,-0.006873,-0.000799
0.539997,-0.000919,-0.006783,-0.000784
0.544997,-0.000896,-0.006732,-0.000775
0.549996,-0.000880,-0.006730,-0.000769
0.554996,-0.000856,-0.006758,-0.000764
0.559996,-0.000839,-0.006798,-0.000777
0.564996,-0.000813,-0.006852,-0.000803
0.569996,-0.000796,-0.006873,-0.000820
0.574996,-0.000770,-0.006851,-0.000863
0.579996,-0.000753,-0.006806,-0.000901
