time, Quad.IMU.AX,,,,
2.140027,-1.86665,,-1.88654,3.559033172,
2.260019,-1.357576,,-1.377466,1.897412581,
4.784836,-1.320476,,-1.340366,1.796581014,
4.434861,-1.267415,,-1.287305,1.657154163,
2.38501,-1.265176,,-1.285066,1.651394624,
0.454998,-1.229714,,-1.249604,1.561510157,
2.999965,-1.208198,,-1.228088,1.508200136,
1.905033,-1.193094,,-1.212984,1.471330184,
3.629919,-1.108839,,-1.128729,1.274029155,
3.149954,-1.091157,,-1.111047,1.234425436,
0.05,-1.086222,,-1.106112,1.223483757,
3.704914,-1.081919,,-1.101809,1.213983072,
1.62002,-1.076671,,-1.096561,1.202446027,
0.639995,-1.071089,,-1.090979,1.190235178,
3.094958,-1.022044,,-1.041934,1.08562646,
4.704842,-1.01879,,-1.03868,1.078856142,
1.250002,-1.013988,,-1.033878,1.068903719,
0.13,-1.012512,,-1.032402,1.06585389,
3.319942,-1.007014,,-1.026904,1.054531825,
3.389937,-1.005182,,-1.025072,1.050772605,
0.449998,-1.002565,,-1.022455,1.045414227,
0.599996,-0.976542,,-0.996432,0.992876731,
3.809906,-0.975768,,-0.995658,0.991334853,
4.539854,-0.964292,,-0.984182,0.968614209,
2.569996,-0.962657,,-0.982547,0.965398607,
2.255019,-0.955322,,-0.975212,0.951038445,
3.699914,-0.955153,,-0.975043,0.950708852,
0.794993,-0.937672,,-0.957562,0.916924984,
4.984821,-0.930289,,-0.950179,0.902840132,
4.124884,-0.926746,,-0.946636,0.896119716,
2.864975,-0.924604,,-0.944494,0.892068916,
4.72484,-0.922045,,-0.941935,0.887241544,
4.30987,-0.916483,,-0.936373,0.876794395,
4.204878,-0.907181,,-0.927071,0.859460639,
2.465004,-0.904469,,-0.924359,0.854439561,
2.490002,-0.898843,,-0.918733,0.844070325,
1.290004,-0.898118,,-0.918008,0.842738688,
1.575018,-0.895613,,-0.915503,0.838145743,
3.279945,-0.886446,,-0.906336,0.821444945,
0.569996,-0.882861,,-0.902751,0.814959368,
4.939825,-0.875037,,-0.894927,0.800894335,
3.8899,-0.855236,,-0.875126,0.765845516,
1.480013,-0.849948,,-0.869838,0.756618146,
2.959968,-0.849356,,-0.869246,0.755588609,
1.535016,-0.84934,,-0.86923,0.755560793,
2.594994,-0.838868,,-0.858758,0.737465303,
3.119956,-0.838532,,-0.858422,0.73688833,
1.720024,-0.836499,,-0.856389,0.733402119,
4.31987,-0.836109,,-0.855999,0.732734288,
0.404998,-0.831983,,-0.851873,0.725687608,
1.890032,-0.828489,,-0.848379,0.719746928,
3.514928,-0.824278,,-0.844168,0.712619612,
1.220001,-0.812378,,-0.832268,0.692670024,
3.539926,-0.800643,,-0.820533,0.673274404,
0.065,-0.800611,,-0.820501,0.673221891,
1.129997,-0.796805,,-0.816695,0.666990723,
3.649918,-0.795288,,-0.815178,0.664515172,
2.365011,-0.787194,,-0.807084,0.651384583,
3.959895,-0.784411,,-0.804301,0.646900099,
4.714841,-0.783062,,-0.802952,0.644731914,
4.474858,-0.778198,,-0.798088,0.636944456,
1.860031,-0.772884,,-0.792774,0.628490615,
1.600019,-0.762021,,-0.781911,0.611384812,
3.144954,-0.755791,,-0.775681,0.601681014,
2.714986,-0.754883,,-0.774773,0.600273202,
4.484858,-0.753896,,-0.773786,0.598744774,
3.359939,-0.75204,,-0.77193,0.595875925,
3.589922,-0.746539,,-0.766429,0.587413412,
4.654845,-0.745349,,-0.765239,0.585590727,
0.22,-0.74518,,-0.76507,0.585332105,
1.730025,-0.741563,,-0.761453,0.579810671,
0.969991,-0.732032,,-0.751922,0.565386694,
1.355007,-0.728583,,-0.748473,0.560211832,
2.295016,-0.728518,,-0.748408,0.560114534,
2.679988,-0.726212,,-0.746102,0.556668194,
3.399936,-0.722683,,-0.742573,0.55141466,
4.694842,-0.705495,,-0.725385,0.526183398,
2.250019,-0.704873,,-0.724763,0.525281406,
3.184952,-0.704827,,-0.724717,0.52521473,
0.894992,-0.700771,,-0.720661,0.519352277,
3.784908,-0.698013,,-0.717903,0.515384717,
1.029992,-0.691752,,-0.711642,0.506434336,
