time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.005000,0.000015,0.000018,-0.000036,-0.000049,0.000000,0.000000
0.010000,0.000051,0.000046,-0.000625,-0.000497,0.000002,0.000002
0.015000,0.000093,0.000096,-0.003027,-0.003406,0.000002,0.000002
0.020000,0.000101,0.000103,-0.008754,-0.007965,-0.000002,-0.000001
0.025000,0.000003,-0.000013,-0.019236,-0.020568,-0.000013,-0.000015
0.030000,-0.000185,-0.000164,-0.035826,-0.033834,-0.000026,-0.000026
0.035000,-0.000460,-0.000494,-0.059122,-0.061788,-0.000033,-0.000035
0.040000,-0.000797,-0.000766,-0.088989,-0.085694,-0.000029,-0.000034
0.045000,-0.001125,-0.001160,-0.124780,-0.128626,-0.000008,-0.000011
0.050000,-0.001453,-0.001421,-0.165090,-0.160910,0.000035,0.000021
0.055000,-0.001778,-0.001808,-0.208075,-0.212470,0.000101,0.000096
0.060000,-0.002096,-0.002063,-0.251813,-0.247495,0.000185,0.000161
0.065000,-0.002344,-0.002358,-0.294638,-0.298876,0.000281,0.000273
0.070000,-0.002482,-0.002466,-0.335202,-0.331350,0.000384,0.000354
0.075000,-0.002570,-0.002571,-0.372527,-0.376143,0.000494,0.000484
0.080000,-0.002683,-0.002658,-0.405939,-0.402888,0.000605,0.000572
0.085000,-0.002864,-0.002875,-0.435094,-0.437888,0.000712,0.000699
0.090000,-0.003084,-0.003051,-0.459932,-0.457761,0.000815,0.000780
0.095000,-0.003284,-0.003290,-0.480775,-0.482798,0.000915,0.000898
0.100000,-0.003442,-0.003417,-0.498165,-0.496707,0.001011,0.000974
0.105000,-0.003529,-0.003521,-0.512838,-0.514345,0.001103,0.001083
0.110000,-0.003548,-0.003535,-0.525602,-0.524555,0.001194,0.001156
0.115000,-0.003518,-0.003501,-0.537149,-0.538435,0.001281,0.001260
0.120000,-0.003485,-0.003474,-0.548011,-0.547128,0.001360,0.001323
0.125000,-0.003491,-0.003478,-0.558638,-0.559901,0.001432,0.001409
0.130000,-0.003500,-0.003485,-0.569343,-0.568474,0.001500,0.001463
0.135000,-0.003478,-0.003458,-0.580286,-0.581617,0.001567,0.001544
0.140000,-0.003370,-0.003369,-0.591463,-0.590572,0.001630,0.001594
0.145000,-0.003201,-0.003166,-0.602748,-0.604126,0.001688,0.001663
0.150000,-0.002939,-0.002955,-0.613974,-0.613120,0.001739,0.001705
0.155000,-0.002629,-0.002583,-0.624928,-0.626273,0.001784,0.001759
0.160000,-0.002287,-0.002309,-0.634958,-0.634336,0.001819,0.001787
0.165000,-0.001932,-0.001882,-0.642379,-0.643224,0.001843,0.001817
0.170000,-0.001585,-0.001604,-0.645135,-0.645472,0.001859,0.001830
0.175000,-0.001282,-0.001362,-0.641154,-0.640683,0.001868,0.001840
0.180000,-0.001069,-0.001317,-0.628799,-0.630826,0.001868,0.001838
0.185000,-0.000940,-0.001342,-0.606944,-0.604603,0.001864,0.001822
0.190000,-0.000809,-0.001354,-0.574860,-0.578951,0.001856,0.001801
0.195000,-0.000641,-0.001322,-0.532160,-0.527724,0.001848,0.001753
0.200000,-0.000452,-0.001277,-0.478631,-0.484902,0.001842,0.001711
0.205000,-0.000263,-0.001079,-0.414687,-0.408204,0.001846,0.001641
0.210000,-0.000079,-0.000912,-0.341614,-0.349711,0.001863,0.001600
0.215000,0.000100,-0.000673,-0.261960,-0.254195,0.001893,0.001551
0.220000,0.000209,-0.000574,-0.179046,-0.187820,0.001930,0.001526
0.225000,0.000267,-0.000496,-0.096055,-0.088281,0.001967,0.001491
0.230000,0.000267,-0.000493,-0.015659,-0.023934,0.002002,0.001470
0.235000,0.000278,-0.000482,0.060107,0.066958,0.002037,0.001443
0.240000,0.000309,-0.000462,0.129787,0.122716,0.002075,0.001431
0.245000,0.000358,-0.000411,0.192636,0.198137,0.002118,0.001423
0.250000,0.000457,-0.000341,0.248361,0.242723,0.002166,0.001424
0.255000,0.000659,-0.000112,0.296962,0.301061,0.002221,0.001440
0.260000,0.000957,0.000118,0.338660,0.334422,0.002286,0.001462
0.265000,0.001339,0.000561,0.373827,0.376644,0.002362,0.001513
0.270000,0.001756,0.000887,0.402979,0.399966,0.002444,0.001556
0.275000,0.002165,0.001368,0.426743,0.428509,0.002528,0.001628
0.280000,0.002588,0.001700,0.445908,0.443836,0.002612,0.001679
0.285000,0.002970,0.002150,0.461491,0.462570,0.002694,0.001758
0.290000,0.003274,0.002390,0.474631,0.473075,0.002772,0.001810
0.295000,0.003469,0.002618,0.486406,0.487233,0.002849,0.001887
0.300000,0.003587,0.002706,0.497630,0.496212,0.002924,0.001938
0.305000,0.003756,0.002902,0.508926,0.509789,0.002994,0.002009
0.310000,0.004010,0.003101,0.520663,0.519187,0.003062,0.002053
0.314999,0.004328,0.003473,0.532978,0.533980,0.003130,0.002118
0.319999,0.004694,0.003762,0.545858,0.544297,0.003202,0.002164
0.324999,0.005082,0.004216,0.559162,0.560275,0.003279,0.002239
0.329999,0.005478,0.004527,0.572675,0.571099,0.003364,0.002294
0.334999,0.005833,0.004941,0.586183,0.587320,0.003454,0.002382
0.339999,0.006099,0.005147,0.599437,0.597937,0.003546,0.002443
0.344999,0.006242,0.005310,0.612171,0.613229,0.003638,0.002536
0.349999,0.006258,0.005313,0.624162,0.622834,0.003728,0.002597
0.354999,0.006219,0.005259,0.635211,0.636105,0.003806,0.002675
0.359999,0.006159,0.005207,0.645227,0.644126,0.003870,0.002717
0.364999,0.006021,0.005034,0.654263,0.654984,0.003923,0.002768
0.369999,0.005819,0.004865,0.662343,0.661457,0.003964,0.002792
0.374999,0.005687,0.004701,0.669480,0.670040,0.003994,0.002818
0.379999,0.005702,0.004709,0.675851,0.675144,0.004015,0.002829
0.384999,0.005862,0.004893,0.681579,0.682032,0.004032,0.002839
0.389999,0.006073,0.005060,0.686798,0.686213,0.004050,0.002848
0.394998,0.006246,0.005260,0.691702,0.692112,0.004071,0.002866
0.399998,0.006334,0.005327,0.696403,0.695878,0.004096,0.002881
0.404998,0.006379,0.005376,0.700966,0.701367,0.004125,0.002909
0.409998,0.006330,0.005333,0.705385,0.704908,0.004151,0.002924
0.414998,0.006210,0.005183,0.709712,0.710111,0.004171,0.002941
0.419998,0.006024,0.005035,0.713931,0.713494,0.004181,0.002945
0.424998,0.005738,0.004689,0.718094,0.718501,0.004185,0.002943
0.429998,0.005419,0.004431,0.722224,0.721813,0.004187,0.002940
0.434998,0.005147,0.004102,0.726293,0.726705,0.004190,0.002938
0.439998,0.004915,0.003917,0.730096,0.729764,0.004194,0.002938
0.444998,0.004650,0.003596,0.733169,0.733452,0.004196,0.002935
0.449998,0.004354,0.003358,0.734784,0.734765,0.004191,0.002929
0.454998,0.004084,0.003037,0.734174,0.734035,0.004176,0.002912
0.459998,0.003859,0.002859,0.730686,0.731259,0.004149,0.002894
0.464998,0.003705,0.002681,0.723859,0.723077,0.004109,0.002857
0.469997,0.003614,0.002616,0.713501,0.714797,0.004053,0.002823
0.474997,0.003540,0.002544,0.699642,0.698183,0.003983,0.002760
0.479997,0.003462,0.002493,0.682519,0.684487,0.003900,0.002711
0.484997,0.003314,0.002334,0.662529,0.660521,0.003806,0.002628
0.489997,0.003066,0.002146,0.640165,0.642632,0.003710,0.002571
0.494997,0.002747,0.001782,0.615921,0.613563,0.003615,0.002488
0.499997,0.002386,0.001503,0.590384,0.593133,0.003526,0.002438
0.504997,0.002064,0.001136,0.564197,0.561733,0.003447,0.002374
0.509997,0.001838,0.000965,0.537884,0.540688,0.003375,0.002338
0.514997,0.001707,0.000822,0.511830,0.509443,0.003309,0.002290
0.519997,0.001637,0.000776,0.486299,0.489029,0.003250,0.002262
0.524997,0.001641,0.000794,0.461379,0.459140,0.003197,0.002227
0.529997,0.001693,0.000846,0.437015,0.439662,0.003147,0.002206
0.534997,0.001765,0.000945,0.413096,0.410975,0.003095,0.002170
0.539997,0.001898,0.001060,0.389538,0.392143,0.003039,0.002143
0.544997,0.002025,0.001224,0.366154,0.364096,0.002978,0.002095
0.549996,0.002164,0.001341,0.342765,0.345396,0.002910,0.002057
0.554996,0.002297,0.001508,0.319294,0.317244,0.002839,0.001997
0.559996,0.002375,0.001574,0.295631,0.298324,0.002772,0.001959
0.564996,0.002372,0.001577,0.271766,0.269700,0.002708,0.001907
0.569996,0.002279,0.001506,0.247759,0.250501,0.002653,0.001878
0.574996,0.002075,0.001265,0.223732,0.221682,0.002609,0.001847
0.579996,0.001709,0.000974,0.199814,0.202555,0.002575,0.001834
0.584996,0.001218,0.000390,0.176128,0.174146,0.002556,0.001830
0.589996,0.000665,-0.000052,0.152817,0.155502,0.002554,0.001841
0.594996,0.000073,-0.000761,0.129969,0.128095,0.002569,0.001878
0.599996,-0.000545,-0.001255,0.107690,0.110278,0.002601,0.001915
0.604996,-0.001109,-0.001930,0.086024,0.084285,0.002647,0.001987
0.609996,-0.001627,-0.002344,0.065012,0.067479,0.002702,0.002043
0.614996,-0.002096,-0.002904,0.044623,0.043016,0.002763,0.002132
0.619996,-0.002492,-0.003222,0.024811,0.027169,0.002827,0.002194
0.624996,-0.002787,-0.003576,0.005556,0.004065,0.002895,0.002291
0.629995,-0.002975,-0.003726,-0.013110,-0.010867,0.002959,0.002353
0.634995,-0.003080,-0.003852,-0.031178,-0.032548,0.003022,0.002445
0.639995,-0.003104,-0.003870,-0.048616,-0.046502,0.003086,0.002507
0.644995,-0.003077,-0.003839,-0.065343,-0.066576,0.003152,0.002602
0.649995,-0.003002,-0.003778,-0.081327,-0.079367,0.003217,0.002664
0.654995,-0.002869,-0.003619,-0.096545,-0.097634,0.003276,0.002749
0.659995,-0.002657,-0.003448,-0.111000,-0.109202,0.003324,0.002797
0.664995,-0.002442,-0.003192,-0.124678,-0.125622,0.003357,0.002850
0.669995,-0.002280,-0.003063,-0.137571,-0.135940,0.003376,0.002874
0.674995,-0.002188,-0.002955,-0.149651,-0.150441,0.003388,0.002900
0.679995,-0.002177,-0.002948,-0.160849,-0.159406,0.003398,0.002914
0.684995,-0.002231,-0.003014,-0.171171,-0.171800,0.003406,0.002933
0.689995,-0.002327,-0.003092,-0.180570,-0.179324,0.003414,0.002946
0.694995,-0.002475,-0.003270,-0.189104,-0.189576,0.003419,0.002960
0.699995,-0.002698,-0.003451,-0.196896,-0.195816,0.003415,0.002961
0.704994,-0.002942,-0.003745,-0.204010,-0.204363,0.003400,0.002950
0.709994,-0.003110,-0.003880,-0.210434,-0.209509,0.003377,0.002935
0.714994,-0.003169,-0.003954,-0.216201,-0.216443,0.003345,0.002902
